Weight,Smoothness,Label
82,0.65,0
102,0.81,0
173,0.27,0
96,0.84,0
116,0.76,0
109,0.31,0
165,0.48,0
103,0.47,0
149,0.85,1
162,0.84,1
120,0.69,0
159,0.83,1
169,0.5,0
109,0.85,0
125,0.46,0
149,0.95,1
172,0.76,1
85,0.37,0
119,0.55,0
100,0.5,0
97,0.4,0
97,0.36,0
122,0.79,1
178,0.44,0
121,0.53,0
136,0.64,0
131,0.39,0
84,0.88,0
89,0.96,0
106,0.76,0
88,0.63,0
91,0.61,0
117,0.23,0
118,0.86,0
99,0.22,0
169,0.76,1
176,0.47,0
83,0.49,0
81,0.26,0
176,0.21,0
134,0.84,1
154,0.48,0
108,0.39,0
133,0.97,1
106,0.86,0
97,0.51,0
112,0.9,0
111,0.32,0
158,0.45,0
112,0.78,0
98,0.23,0
116,0.31,0
137,0.84,1
166,0.57,0
141,0.65,0
164,0.91,1
109,0.49,0
167,0.64,0
118,0.34,0
120,0.67,0
95,0.87,0
98,0.75,0
99,0.66,0
174,0.86,1
166,0.95,1
162,0.47,0
100,0.47,0
119,0.46,0
91,0.41,0
89,0.48,0
120,0.49,0
94,0.35,0
82,0.65,0
166,0.77,1
91,0.32,0
172,0.65,0
124,0.37,0
122,0.45,0
130,0.88,1
127,0.83,1
103,0.94,0
122,0.75,1
132,0.57,0
163,0.43,0
159,0.45,0
154,0.59,0
168,0.41,0
105,0.68,0
152,0.85,1
80,0.22,0
100,0.3,0
120,0.8,1
85,0.25,0
150,0.9,1
130,0.75,1
170,0.85,1
95,0.4,0
140,0.6,1
160,0.95,1
110,0.5,0
